URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.145,0.044,0.9996,0.9996,26.12987012987013,41.40159045725646,27.012584234850635,26.12987012987013,833,2012,1.874751491053678,0,5.1600397614314115
2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.149,0.084,0.9984,0.9984,20.525,27.77101096224117,19.318404384896468,20.525,456,1642,1.5937880633373933,0,4.302679658952497
3,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.075,0.036,0.9891,0.9891,22.55294117647059,37.66301512780386,24.08638252170978,22.55294117647059,722,1917,1.838810641627543,0,4.912363067292644
4,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.145,0.044,0.9995,0.9995,19.28421052631579,29.475982532751093,19.50407722362675,19.28421052631579,540,1832,1.6512008733624455,0,4.4284934497816595
5,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.146,0.051,0.9996,0.9996,25.075949367088608,33.01362948006057,23.235831538859674,25.075949367088608,654,1981,1.6951034830893488,0,4.608278647147905
6,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.167,0.038,0.9996,0.9996,23.34375,31.258366800535477,21.84084672021419,23.34375,467,1494,1.6572958500669344,9,4.48995983935743
7,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.102,0.025,0.9952,0.9952,18.68888888888889,32.580261593341255,20.50766019289206,18.68888888888889,274,841,1.6860879904875148,0,4.564803804994055
9,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.163,0.057,0.9982,0.9982,22.805555555555557,28.501827040194883,20.522953038300177,22.805555555555557,234,821,1.5797807551766139,1,4.381242387332521
10,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.147,0.046,0.9998,0.9998,29.82716049382716,31.374172185430467,24.480533071703054,29.82716049382716,758,2416,1.7003311258278146,4,4.508278145695364
11,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.119,0.096,0.9952,0.9952,23.048076923076923,32.7909887359199,22.335626263598733,23.048076923076923,786,2397,1.6841885690446392,0,4.408427200667501
